iteration,reward_mean,length_mean,games,loss
81000,-1.0,2.0,9,"[array(-1.28919546), array(-1.35003372), array(0.06083826, dtype=float32)]"
81500,-1.0,2.0,9,"[array(-1.18282901), array(-1.27609303), array(0.09326401, dtype=float32)]"
82000,-1.0,2.0,11,"[array(-1.32433301), array(-1.3976283), array(0.07329529, dtype=float32)]"
82500,-1.0,2.0,10,"[array(-1.30830978), array(-1.38725582), array(0.07894603, dtype=float32)]"
83000,-1.0,2.0,8,"[array(-1.24766253), array(-1.32844361), array(0.08078107, dtype=float32)]"
83500,-0.88,2.12,8,"[array(-1.28417458), array(-1.35233463), array(0.06816005, dtype=float32)]"
84000,-1.0,2.0,10,"[array(-1.30626877), array(-1.37931905), array(0.07305028, dtype=float32)]"
84500,-1.0,2.0,8,"[array(-1.27098987), array(-1.34404688), array(0.07305701, dtype=float32)]"
85000,-1.0,2.0,11,"[array(-1.12191967), array(-1.1969744), array(0.07505473, dtype=float32)]"
85500,-1.0,2.0,8,"[array(-1.28694791), array(-1.3601344), array(0.07318649, dtype=float32)]"
86000,-0.9,2.1,10,"[array(-1.28020162), array(-1.35015614), array(0.06995452, dtype=float32)]"
86500,-1.0,2.0,10,"[array(-1.21667346), array(-1.28451074), array(0.06783728, dtype=float32)]"
87000,-0.88,2.12,8,"[array(-1.3687951), array(-1.45315182), array(0.08435672, dtype=float32)]"
87500,-1.0,2.0,8,"[array(-1.25752057), array(-1.34050918), array(0.08298861, dtype=float32)]"
88000,-1.0,2.0,10,"[array(-1.29829661), array(-1.36838246), array(0.07008585, dtype=float32)]"
88500,-1.0,2.0,9,"[array(-1.29715484), array(-1.37135839), array(0.07420355, dtype=float32)]"
89000,-1.0,2.0,8,"[array(-1.28746801), array(-1.3637585), array(0.07629049, dtype=float32)]"
89500,-0.91,2.09,11,"[array(-1.3770528), array(-1.45089137), array(0.07383857, dtype=float32)]"
90000,-1.0,2.0,8,"[array(-1.146355), array(-1.23666393), array(0.09030893, dtype=float32)]"
90500,-1.0,2.0,9,"[array(-1.3576023), array(-1.43350266), array(0.07590036, dtype=float32)]"
91000,-1.0,2.0,10,"[array(-1.26267778), array(-1.33571724), array(0.07303946, dtype=float32)]"
91500,-1.0,2.0,8,"[array(-1.17665596), array(-1.25813846), array(0.0814825, dtype=float32)]"
92000,-1.0,2.0,8,"[array(-1.30760426), array(-1.38435708), array(0.07675282, dtype=float32)]"
92500,-1.0,2.0,9,"[array(-1.35670967), array(-1.42921708), array(0.0725074, dtype=float32)]"
93000,-1.0,2.0,9,"[array(-1.16744926), array(-1.25104478), array(0.08359552, dtype=float32)]"
93500,-1.0,2.0,10,"[array(-1.26712415), array(-1.35462044), array(0.08749629, dtype=float32)]"
94000,-1.0,2.0,8,"[array(-1.28489001), array(-1.3615106), array(0.07662059, dtype=float32)]"
94500,-1.0,2.0,9,"[array(-1.26198448), array(-1.32910402), array(0.06711954, dtype=float32)]"
95000,-1.0,2.0,8,"[array(-1.29799949), array(-1.36907415), array(0.07107466, dtype=float32)]"
95500,-1.0,2.0,8,"[array(-1.22572368), array(-1.2944894), array(0.06876572, dtype=float32)]"
96000,-1.0,2.0,11,"[array(-1.22505097), array(-1.29382117), array(0.0687702, dtype=float32)]"
96500,-1.0,2.0,8,"[array(-1.13415006), array(-1.2086867), array(0.07453664, dtype=float32)]"
97000,-0.89,2.11,9,"[array(-1.28269782), array(-1.35932948), array(0.07663167, dtype=float32)]"
97500,-1.0,2.0,8,"[array(-1.37712469), array(-1.44558701), array(0.06846232, dtype=float32)]"
98000,-0.89,2.11,9,"[array(-1.29453425), array(-1.36874233), array(0.07420808, dtype=float32)]"
98500,-0.89,2.11,9,"[array(-1.30625347), array(-1.38812149), array(0.08186802, dtype=float32)]"
